1 
1 1 1 
127 1 1 15 1 
1 3 1 15 1 
1 7 1 15 1 
1 15 1 15 1 
1 31 1 15 1 
1 63 1 15 1 
1 127 1 15 1 
1 15 17 15 1 
1 15 49 15 1 
1 15 113 15 1 
1 1 1 31 1 
3 1 1 31 1 
7 1 1 31 1 
15 1 1 31 1 
31 1 1 31 1 
63 1 1 31 1 
127 1 1 31 1 
1 3 1 31 1 
1 7 1 31 1 
1 15 1 31 1 
1 31 1 31 1 
1 63 1 31 1 
1 127 1 31 1 
1 31 33 31 1 
1 31 97 31 1 
1 1 1 63 1 
3 1 1 63 1 
7 1 1 63 1 
15 1 1 63 1 
31 1 1 63 1 
63 1 1 63 1 
127 1 1 63 1 
1 3 1 63 1 
1 7 1 63 1 
1 15 1 63 1 
1 31 1 63 1 
1 63 1 63 1 
1 127 1 63 1 
1 63 65 63 1 
1 1 1 127 1 
3 1 1 127 1 
7 1 1 127 1 
15 1 1 127 1 
31 1 1 127 1 
63 1 1 127 1 
127 1 1 127 1 
1 3 1 127 1 
1 7 1 127 1 
1 15 1 127 1 
1 31 1 127 1 
1 63 1 127 1 
1 127 1 127 1 
1 127 129 127 1 
1 1 1 1 3 
1 3 1 1 3 
5 3 1 1 3 
13 3 1 1 3 
29 3 1 1 3 
61 3 1 1 3 
125 3 1 1 3 
1 7 1 1 3 
1 15 1 1 3 
1 31 1 1 3 
1 63 1 1 3 
1 127 1 1 3 
1 1 3 1 3 
1 1 7 1 3 
1 1 15 1 3 
1 1 31 1 3 
1 1 63 1 3 
1 1 127 1 3 
1 1 3 5 3 
1 1 3 13 3 
1 1 3 29 3 
1 1 3 61 3 
1 1 3 125 3 
3 1 1 3 5 
1 1 1 1 7 
1 3 1 1 7 
1 7 1 1 7 
9 7 1 1 7 
25 7 1 1 7 
57 7 1 1 7 
121 7 1 1 7 
1 15 1 1 7 
1 31 1 1 7 
1 63 1 1 7 
1 127 1 1 7 
1 1 3 1 7 
1 1 7 1 7 
1 1 15 1 7 
1 1 31 1 7 
1 1 63 1 7 
1 1 127 1 7 
1 1 7 9 7 
1 1 7 25 7 
1 1 7 57 7 
1 1 7 121 7 
7 1 1 7 9 
3 1 1 3 13 
1 1 1 1 15 
1 3 1 1 15 
1 7 1 1 15 
1 15 1 1 15 
17 15 1 1 15 
49 15 1 1 15 
113 15 1 1 15 
1 31 1 1 15 
1 63 1 1 15 
1 127 1 1 15 
1 1 3 1 15 
1 1 7 1 15 
1 1 15 1 15 
1 1 31 1 15 
1 1 63 1 15 
1 1 127 1 15 
1 1 15 17 15 
1 1 15 49 15 
1 1 15 113 15 
15 1 1 15 17 
7 1 1 7 25 
3 1 1 3 29 
1 1 1 1 31 
1 3 1 1 31 
1 7 1 1 31 
1 15 1 1 31 
1 31 1 1 31 
33 31 1 1 31 
97 31 1 1 31 
1 63 1 1 31 
1 127 1 1 31 
1 1 3 1 31 
1 1 7 1 31 
1 1 15 1 31 
1 1 31 1 31 
1 1 63 1 31 
1 1 127 1 31 
1 1 31 33 31 
1 1 31 97 31 
31 1 1 31 33 
15 1 1 15 49 
7 1 1 7 57 
3 1 1 3 61 
1 1 1 1 63 
1 3 1 1 63 
1 7 1 1 63 
1 15 1 1 63 
1 31 1 1 63 
1 63 1 1 63 
65 63 1 1 63 
